amenity,amen_count
amen_Bose_SoundTouch_30_Bluetooth_sound_system,1
amen_VIzio_sound_system_with_Bluetooth_and_aux,1
amen_bluetooth__speaker_Bluetooth_sound_system,1
amen_Alexa__sound_system_with_Bluetooth_and_aux,1
amen_Paid_valet_parking_on_premises_$66_per_day,1
amen_Puracy_plant_based_and_natural_conditioner,1
amen_Bose_Solo_5_soundbar_Bluetooth_sound_system,1
amen_Dedicated_workspace:_table_and_office_chair,1
amen_Free_residential_garage_on_premises_1_space,1
amen_Two_Burner_Electric_Cook-Top_electric_stove,1
amen_Clothing_storage:_dresser_and_walk-in_closet,1
amen_Google_Smart_Speakers_Bluetooth_sound_system,1
amen_Paid_parking_garage_off_premises_$40_per_day,1
amen_Breville_Convection_Oven_stainless_steel_oven,1
amen_Doss_Bluetooth_Speaker_Bluetooth_sound_system,1
amen_Fridgedare_30_inches_stainless_steel_gas_stove,1
amen_Sonos_Wireless_Speakers_Bluetooth_sound_system,1
amen_BOSE_&_SONY_sound_system_with_Bluetooth_and_aux,1
amen_Childrens_books_and_toys_for_ages_0-2_years_old,1
amen_Childrens_books_and_toys_for_ages_2-5_years_old,1
amen_Hotel_style_sample_size_upon_check_in_body_soap,1
amen_Hote_style_sample_size_upon_check_in_conditioner,1
amen_Shared_indoor_heated_olympic-sized_saltwater_pool,1
amen_Dispenser_for_shampoo_&_bodywash_in_shower_shampoo,1
amen_inside_the_room_and_in_the_living_room_refrigerator,1
amen_Built-in_sound_system_in_the_apartment._sound_system,1
amen_Ceiling_audio_receiver_speakers_Bluetooth_sound_system,1
amen_a_french_brand_made_100%_with_Marseille_Soap__body_soap,1
amen_multiple_hotel-size_trials_of_high-end_brands_body_soap,1
amen_multiple_hotel-size_trials_of_high-end_brands_conditioner,1
amen_Unknown_-_you_can_plug_right_into_phone_sound_system_with_aux,1
amen_2_burner_induction_cooktop.__We_provide_pots_and_pans._induction_stove,1
amen_Two_Burner_Induction_Cooktop.__We_provide_pots_&_pans._induction_stove,1
amen_Two_Burner_Induction_stovetop.__We_provide_pots_&_pans._induction_stove,1
